Ep 410 | R= -200.0 | steps=200 | cur=0.115[0.028-0.198] | V=-81.907 | noise=0.314 | tDA=0.200 sero=0.863 NE=0.124 | maxP=-0.315
Ep 415 | R= -200.0 | steps=200 | cur=0.105[0.044-0.182] | V=-82.217 | noise=0.340 | tDA=0.170 sero=0.885 NE=0.081 | maxP=-0.390
Ep 420 | R= -200.0 | steps=200 | cur=0.139[0.050-0.229] | V=-82.472 | noise=0.363 | tDA=0.143 sero=0.851 NE=0.201 | maxP=-0.299
Ep 425 | R= -200.0 | steps=200 | cur=0.105[0.027-0.177] | V=-82.751 | noise=0.383 | tDA=0.121 sero=0.881 NE=0.085 | maxP=-0.413
Ep 430 | R= -200.0 | steps=200 | cur=0.104[0.026-0.174] | V=-83.066 | noise=0.400 | tDA=0.102 sero=0.885 NE=0.075 | maxP=-0.356
Ep 435 | R= -200.0 | steps=200 | cur=0.095[0.045-0.175] | V=-83.237 | noise=0.410 | tDA=0.108 sero=0.889 NE=0.061 | maxP=-0.395
Ep 440 | R= -200.0 | steps=200 | cur=0.108[0.030-0.198] | V=-82.616 | noise=0.361 | tDA=0.153 sero=0.872 NE=0.076 | maxP=-0.312
Ep 445 | R= -200.0 | steps=200 | cur=0.069[0.025-0.165] | V=-82.441 | noise=0.350 | tDA=0.164 sero=0.900 NE=0.050 | maxP=-0.494
Ep 450 | R= -200.0 | steps=200 | cur=0.091[0.044-0.173] | V=-82.425 | noise=0.350 | tDA=0.162 sero=0.892 NE=0.070 | maxP=-0.414
Ep 455 | R= -200.0 | steps=200 | cur=0.135[0.040-0.239] | V=-82.460 | noise=0.359 | tDA=0.148 sero=0.854 NE=0.195 | maxP=-0.328
Ep 460 | R= -200.0 | steps=200 | cur=0.102[0.017-0.210] | V=-82.722 | noise=0.375 | tDA=0.129 sero=0.880 NE=0.164 | maxP=-0.261
Ep 465 | R= -200.0 | steps=200 | cur=0.095[0.017-0.180] | V=-83.015 | noise=0.394 | tDA=0.109 sero=0.887 NE=0.079 | maxP=-0.410
Ep 470 | R= -200.0 | steps=200 | cur=0.072[0.004-0.150] | V=-83.205 | noise=0.409 | tDA=0.093 sero=0.906 NE=0.035 | maxP=-0.406
Ep 475 | R= -200.0 | steps=200 | cur=0.101[0.025-0.182] | V=-83.400 | noise=0.420 | tDA=0.081 sero=0.884 NE=0.090 | maxP=-0.395
Ep 480 | R= -200.0 | steps=200 | cur=0.100[0.018-0.184] | V=-83.548 | noise=0.425 | tDA=0.082 sero=0.881 NE=0.114 | maxP=-0.305
Ep 485 | R= -200.0 | steps=200 | cur=0.102[0.035-0.171] | V=-83.512 | noise=0.428 | tDA=0.073 sero=0.885 NE=0.068 | maxP=-0.384
Ep 490 | R= -200.0 | steps=200 | cur=0.122[0.033-0.189] | V=-83.633 | noise=0.438 | tDA=0.061 sero=0.866 NE=0.194 | maxP=-0.287
Ep 495 | R= -200.0 | steps=200 | cur=0.079[0.019-0.185] | V=-83.869 | noise=0.448 | tDA=0.052 sero=0.898 NE=0.076 | maxP=-0.434
